issue_code,url,filename,title,edition,number,plausible,error
MN_LMS_511,http://www.mediafire.com/?8tzajwmdgkelxek,LMS - 511 - Mister No - DIJAMANTSKA KLOPKA.rar,DIJAMANTSKA KLOPKA,LMS,511,True,
MN_LMS_513,http://www.mediafire.com/?tl3ugoa07zcjwl8,LMS - 513 - Mister No - UZARENI KOTAO.rar,UZARENI KOTAO,LMS,513,True,
MN_LMS_517,http://www.mediafire.com/?km9noee90qf5smr,LMS 517 - Mister No - U celjusti jaguara (drzeko).cbr,U celjusti jaguara,LMS,517,True,
MN_LMS_522,http://www.mediafire.com/?icl4hil5rmfu6lm,LMS 522 - Mister No - Presuda Fonseku (drzeko).cbr,Presuda Fonseku,LMS,522,True,
MN_LMS_529,http://www.mediafire.com/?q2ss3pudebf737d,LMS - 529 - Mister No - COVEK S MASKOM.rar,COVEK S MASKOM,LMS,529,True,
MN_LMS_529,http://www.mediafire.com/?s9m9h20a65yi0m3,LMS 529 - Mister No - Covek s maskom (drzeko).cbr,Covek s maskom,LMS,529,True,
MN_LMS_530,http://www.mediafire.com/?o4xjmxt90qrladf,LMS - 530 - Mister No - ZASEDA U MOCVARI.rar,ZASEDA U MOCVARI,LMS,530,True,
MN_LMS_537,http://www.mediafire.com/?k2kdrkzobn5xnh3,LMS 537 - Mister No - Usijanje (drzeko).cbr,Usijanje,LMS,537,True,
MN_LMS_544,http://www.mediafire.com/?jaxfh3tsyrv6m55,LMS - 544 - Mister No - CRNA REKA.rar,CRNA REKA,LMS,544,True,
MN_LMS_544,http://www.mediafire.com/?9kon3g7y6jmvhs9,LMS 544 - Mister No - Crna Reka (drzeko).cbr,Crna Reka,LMS,544,True,
MN_LMS_545,http://www.mediafire.com/?fjq55w1qhb78t0e,LMS - 545 - Mister No - SENKE U NOCI.rar,SENKE U NOCI,LMS,545,True,
MN_LMS_546,http://www.mediafire.com/?jmt2c2uxyotul7u,LMS 546 - Mister No - Prokletstvo Maja (drzeko).cbr,Prokletstvo Maja,LMS,546,True,
MN_LMS_558,http://www.mediafire.com/?frv47l8msjnbbc3,LMS - 558 - Mister No - ZLOKOBNA MOCVARA.rar,ZLOKOBNA MOCVARA,LMS,558,True,
MN_LMS_558,http://www.mediafire.com/?ysy8c5e25yyxea4,LMS 558 - Mister No - Zlokobna mocvara (drzeko).cbr,Zlokobna mocvara,LMS,558,True,
MN_LMS_559,http://www.mediafire.com/?fc5z26ta0ej0ol2,LMS 559 - Mister No - Operacija 'Posejdon' (drzeko).cbr,Operacija 'Posejdon',LMS,559,True,
MN_LMS_568,http://www.mediafire.com/?1rnry9o6cyh6hj0,LMS - 568 - Mister No - VELIKA PLJACKA.rar,VELIKA PLJACKA,LMS,568,True,
